price,volatility,error
0,0,0
0.005,0.0642647,9.5376e-13
0.01,0.0872328,5.00922e-13
0.015,0.107858,9.89035e-14
0.02,0.127474,2.07744e-13
0.025,0.146536,3.69066e-13
0.03,0.165255,6.0155e-13
0.035,0.183748,7.04069e-13
0.04,0.202082,9.2594e-13
0.045,0.2203,1.52274e-13
0.05,0.238434,7.75553e-13
0.055,0.256505,6.06751e-13
0.06,0.274527,5.52128e-14
0.065,0.292513,2.49523e-14
0.07,0.310472,5.36932e-13
0.075,0.328411,8.27033e-13
0.08,0.346335,2.39725e-13
0.085,0.36425,9.68142e-13
0.09,0.382159,8.67889e-13
0.095,0.400067,6.55295e-13
0.1,0.417975,1.22888e-13
0.105,0.435887,8.73149e-13
