valuation_date,2022-11-04
USD
2022-12-04,0.04
2023-01-04,0.045
2023-05-04,0.0475
2023-08-04,0.045
2024-12-04,0.0375
2027-12-04,0.035
2047-12-04,0.0325

EUR
2022-12-04,0.03
2023-01-04,0.0285
2023-05-04,0.0275
2023-08-04,0.025
2024-12-04,0.0175
2027-12-04,0.015

GBP
2022-12-04,0.044
2023-01-04,0.041
2023-05-04,0.0395
2023-08-04,0.0385
2024-12-04,0.0375
2027-12-04,0.035

JPY
2022-12-04,0.005
2023-01-04,0.0075
2023-05-04,0.0065
2023-08-04,0.0055
2024-12-04,0.0045
2027-12-04,0.0035
2047-12-04,0.0025

CHF
2022-12-04,-0.0075
2023-01-04,-0.005
2023-06-04,-0.005
2023-08-04,-0.004
2024-12-04,-0.002
2027-12-04,0.0025
